"(Benchmark_method, commit)",Extract Method,Add Method Annotation,Change Parameter Type,Change Variable Type,Change Return Type,Remove Parameter,Inline Method,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Modify Class Annotation,Add Parameter,Change Attribute Type,Inline Variable,Move Source Folder,Remove Method Annotation,Modify Method Annotation,Extract Variable,Pull Up Method,Add Attribute Annotation,Move Method,Move Attribute,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Extract And Move Method,Extract Superclass,Remove Class Annotation,Move Class,Extract Interface,Change Package,Extract Attribute,Reorder Parameter,Merge Attribute,Merge Parameter,Remove Parameter Annotation,Parameterize Variable,Replace Variable With Attribute,Remove Attribute Annotation,Modify Attribute Annotation,Merge Variable,Replace Attribute,Split Attribute,Split Variable,sum,delta
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVertex,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_label_groupCount,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_out_out_path,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexProperty,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_outE_inV_outE_inV_outE_inV,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexPropertyStep,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_localXout_out_valuesXnameX_foldX,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_E_hasLabelXwrittenByX_whereXinV_inEXsungByX_count_isX0XX_subgraphXsgX,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddEdge,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_out_out,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
