"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Extract Variable,Add Parameter,Extract Method,Add Class Annotation,Add Attribute Annotation,Add Method Annotation,Replace Variable With Attribute,Move Method,Modify Attribute Annotation,Change Return Type,Change Attribute Type,Remove Method Annotation,Parameterize Variable,Remove Parameter,Push Down Method,Move Class,Extract Superclass,Inline Method,Extract And Move Method,Pull Up Attribute,Pull Up Method,Move Source Folder,Modify Class Annotation,Remove Attribute Annotation,Remove Class Annotation,Change Package,Modify Method Annotation,Inline Variable,Move Attribute,Extract Attribute,Extract Interface,Extract Class,Merge Attribute,Modify Parameter Annotation,Move And Inline Method,Reorder Parameter,Push Down Attribute,Merge Variable,Extract Subclass,Add Parameter Annotation,Remove Parameter Annotation,Merge Parameter,Split Parameter,Split Attribute,Add Variable Annotation,Replace Attribute,Split Variable,sum,delta
"(org.apache.camel.itest.jmh.SlowTypeConverterTest.typeConvertByteBufToArray,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToByteArray,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.cedarsoftMapComplexCase,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.LogEndpointTest.logEndpoint,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInteger,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.cedarsoftMapSimpleCase,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.LoadTypeConvertersTest.load,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.CaseInsensitiveMapTest.camelMapComplexCase,bdc2e0543a8c2defc4fb000068f25ed92206ec7e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionListToStringArray,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionTimeEnum,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
